model,domain,image,spatial_variance,channel_entropy
Baseline,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-22_12-24-44_sideLeft/0004290.jpg,0.001102154841646552,6.679134845733643
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-05-11_13-42-30_sideRight_left/0002580.jpg,0.002901148283854127,7.098415374755859
Baseline,IDD,data/IDD_Detection\JPEGImages\frontFar/BLR-2018-04-19_17-06-55_frontFar/000858_r.jpg,0.00010321012086933479,5.9855756759643555
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/BLR-2018-06-19-06-21-44_part_58/0001281.jpg,0.0035119217354804277,7.021866321563721
Baseline,IDD,data/IDD_Detection\JPEGImages\highquality_16k/15-07-18-upload/2018-05-03_14-35-35-446650_leftImg8bit.jpg,0.0009680608054623008,6.714333534240723
Baseline,IDD,data/IDD_Detection\JPEGImages\sideLeft/BLR-2018-05-29_11-19-12_sideLeft/000276_r.jpg,0.0002721803029999137,6.3282976150512695
Baseline,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-04-26_13-40-01_sideRight/0000060.jpg,0.002743765478953719,6.835160255432129
Baseline,IDD,data/IDD_Detection\JPEGImages\frontNear/BLR-2018-06-05_08-39-44_frontNear/000064_r.jpg,0.0013778662541881204,6.902941703796387
Baseline,IDD,data/IDD_Detection\JPEGImages\sideRight/BLR-2018-05-17_15-23-02_sideRight/0000180.jpg,0.0016310315113514662,6.823524475097656
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-02-FRCNN/img1\000207.jpg,0.0012538437731564045,6.684628486633301
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000084.jpg,0.0011156107066199183,6.698132514953613
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000255.jpg,0.0011383849196135998,6.683647155761719
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-09-FRCNN/img1\000324.jpg,0.0010730517096817493,6.6106133460998535
MNAT-Hardened,MOT17,data/MOT17/train/MOT17-04-FRCNN/img1\000096.jpg,0.0014507438754662871,6.735123634338379
